"","Year","State","Median.AQI","Days.with.AQI"
"1",2021,"Alabama",32,58
"2",2021,"Alabama",50,60
"3",2021,"Alaska",39,59
"4",2021,"Arizona",11,87
"5",2021,"Arizona",41,90
"6",2021,"Arizona",41,89
"7",2021,"Arizona",44,90
"8",2021,"Arizona",42,90
"9",2021,"Arizona",166,120
"10",2021,"Arizona",12,90
"11",2021,"Arizona",35,90
"12",2021,"Arizona",45,90
"13",2021,"Arizona",47,120
"14",2021,"Arizona",47,90
"15",2021,"Arizona",44,57
"16",2021,"Arizona",44,90
"17",2021,"Arkansas",28,30
"18",2021,"Arkansas",30,28
"19",2021,"Arkansas",30,58
"20",2021,"Arkansas",33,90
"21",2021,"Arkansas",27,29
"22",2021,"Arkansas",28,28
"23",2021,"Arkansas",34,90
"24",2021,"Arkansas",36,90
"25",2021,"Arkansas",40,91
"26",2021,"Arkansas",32,25
"27",2021,"Arkansas",36,90
"28",2021,"California",13,108
"29",2021,"California",37,59
"30",2021,"California",31,34
"31",2021,"California",29,120
"32",2021,"California",92,32
"33",2021,"California",35,120
"34",2021,"California",40,59
"35",2021,"California",18,2
"36",2021,"California",37,91
"37",2021,"California",38,120
"38",2021,"California",65,120
"39",2021,"California",43,90
"40",2021,"California",53,32
"41",2021,"California",37,90
"42",2021,"California",40,58
"43",2021,"California",39,32
"44",2021,"California",36,90
"45",2021,"California",39,59
"46",2021,"California",5,3
"47",2021,"California",22,2
"48",2021,"California",4,2
"49",2021,"California",33,59
"50",2021,"California",42,90
"51",2021,"California",6,6
"52",2021,"Colorado",37,89
"53",2021,"Colorado",35,54
"54",2021,"Colorado",35,54
"55",2021,"Colorado",33,54
"56",2021,"Colorado",45,54
"57",2021,"Colorado",43,99
"58",2021,"Colorado",30,53
"59",2021,"Colorado",39,61
"60",2021,"Colorado",9,5
"61",2021,"Colorado",36,90
"62",2021,"Colorado",42,31
"63",2021,"Colorado",44,59
"64",2021,"Colorado",41,59
"65",2021,"Colorado",41,59
"66",2021,"Colorado",45,59
"67",2021,"Colorado",38,93
"68",2021,"Colorado",42,90
"69",2021,"Colorado",8,8
"70",2021,"Colorado",14,58
"71",2021,"Colorado",16,25
"72",2021,"Colorado",39,59
"73",2021,"Colorado",14,52
"74",2021,"Colorado",6,21
"75",2021,"Colorado",31,69
"76",2021,"Connecticut",33,58
"77",2021,"Country Of Mexico",80,90
"78",2021,"Florida",38,57
"79",2021,"Florida",31,58
"80",2021,"Georgia",29,59
"81",2021,"Georgia",35,59
"82",2021,"Georgia",34,59
"83",2021,"Georgia",30,11
"84",2021,"Georgia",36,11
"85",2021,"Georgia",26,11
"86",2021,"Georgia",36,90
"87",2021,"Georgia",35,59
"88",2021,"Georgia",22,59
"89",2021,"Georgia",36,90
"90",2021,"Georgia",31,10
"91",2021,"Georgia",32,27
"92",2021,"Georgia",30,59
"93",2021,"Georgia",19,58
"94",2021,"Georgia",35,59
"95",2021,"Georgia",31,59
"96",2021,"Georgia",34,120
"97",2021,"Georgia",34,58
"98",2021,"Georgia",41,59
"99",2021,"Georgia",43,61
"100",2021,"Georgia",42,61
"101",2021,"Georgia",32,59
"102",2021,"Hawaii",8,59
"103",2021,"Idaho",38,59
"104",2021,"Idaho",34,90
"105",2021,"Idaho",15,90
"106",2021,"Illinois",40,31
"107",2021,"Illinois",37,90
"108",2021,"Illinois",32,90
"109",2021,"Illinois",54,92
"110",2021,"Illinois",46,90
"111",2021,"Illinois",38,31
"112",2021,"Illinois",37,90
"113",2021,"Illinois",37,87
"114",2021,"Illinois",32,59
"115",2021,"Illinois",39,52
"116",2021,"Illinois",1,84
"117",2021,"Illinois",41,31
"118",2021,"Illinois",39,90
"119",2021,"Illinois",6,90
"120",2021,"Illinois",48,90
"121",2021,"Illinois",39,88
"122",2021,"Illinois",40,90
"123",2021,"Illinois",3,90
"124",2021,"Illinois",39,86
"125",2021,"Illinois",37,90
"126",2021,"Illinois",38,86
"127",2021,"Illinois",42,90
"128",2021,"Illinois",34,89
"129",2021,"Illinois",1,86
"130",2021,"Illinois",1,90
"131",2021,"Illinois",46,90
"132",2021,"Illinois",45,86
"133",2021,"Indiana",36,90
"134",2021,"Indiana",38,120
"135",2021,"Indiana",30,90
"136",2021,"Indiana",35,120
"137",2021,"Indiana",34,120
"138",2021,"Indiana",42,90
"139",2021,"Indiana",37,117
"140",2021,"Indiana",35,31
"141",2021,"Indiana",35,90
"142",2021,"Indiana",31,90
"143",2021,"Indiana",1,90
"144",2021,"Indiana",33,88
"145",2021,"Indiana",38,90
"146",2021,"Indiana",32,120
"147",2021,"Indiana",33,28
"148",2021,"Indiana",39,90
"149",2021,"Indiana",30,59
"150",2021,"Indiana",35,90
"151",2021,"Indiana",49,90
"152",2021,"Indiana",41,120
"153",2021,"Indiana",45,120
"154",2021,"Indiana",31,65
"155",2021,"Indiana",31,90
"156",2021,"Indiana",38,90
"157",2021,"Indiana",28,90
"158",2021,"Indiana",32,120
"159",2021,"Indiana",30,30
"160",2021,"Indiana",42,90
"161",2021,"Indiana",44,59
"162",2021,"Indiana",41,90
"163",2021,"Indiana",38,90
"164",2021,"Indiana",31,59
"165",2021,"Indiana",31,90
"166",2021,"Indiana",37,67
"167",2021,"Iowa",41,120
"168",2021,"Iowa",37,60
"169",2021,"Iowa",16,30
"170",2021,"Iowa",51,120
"171",2021,"Iowa",39,61
"172",2021,"Iowa",47,109
"173",2021,"Iowa",33,23
"174",2021,"Iowa",47,120
"175",2021,"Iowa",37,120
"176",2021,"Iowa",41,120
"177",2021,"Iowa",39,120
"178",2021,"Iowa",39,120
"179",2021,"Iowa",35,31
"180",2021,"Iowa",50,121
"181",2021,"Iowa",39,118
"182",2021,"Iowa",37,30
"183",2021,"Kentucky",30,60
"184",2021,"Kentucky",31,54
"185",2021,"Kentucky",31,59
"186",2021,"Kentucky",32,58
"187",2021,"Louisiana",30,90
"188",2021,"Louisiana",38,90
"189",2021,"Louisiana",34,89
"190",2021,"Louisiana",42,90
"191",2021,"Louisiana",35,91
"192",2021,"Louisiana",36,90
"193",2021,"Louisiana",33,90
"194",2021,"Louisiana",39,90
"195",2021,"Louisiana",37,90
"196",2021,"Louisiana",37,85
"197",2021,"Louisiana",23,91
"198",2021,"Louisiana",31,72
"199",2021,"Louisiana",31,90
"200",2021,"Louisiana",40,90
"201",2021,"Louisiana",3,90
"202",2021,"Louisiana",27,87
"203",2021,"Louisiana",31,87
"204",2021,"Louisiana",34,89
"205",2021,"Louisiana",32,86
"206",2021,"Louisiana",31,90
"207",2021,"Maine",34,110
"208",2021,"Maine",34,90
"209",2021,"Maine",38,121
"210",2021,"Maine",39,121
"211",2021,"Maine",38,61
"212",2021,"Maine",41,56
"213",2021,"Maine",37,120
"214",2021,"Maine",38,120
"215",2021,"Maine",37,119
"216",2021,"Maine",41,78
"217",2021,"Maryland",4,89
"218",2021,"Maryland",38,85
"219",2021,"Maryland",27,88
"220",2021,"Maryland",37,90
"221",2021,"Maryland",37,90
"222",2021,"Maryland",37,91
"223",2021,"Maryland",38,90
"224",2021,"Maryland",24,88
"225",2021,"Maryland",19,86
"226",2021,"Maryland",39,90
"227",2021,"Maryland",38,90
"228",2021,"Maryland",40,90
"229",2021,"Massachusetts",33,31
"230",2021,"Massachusetts",31,47
"231",2021,"Massachusetts",32,31
"232",2021,"Massachusetts",32,31
"233",2021,"Massachusetts",32,31
"234",2021,"Massachusetts",35,47
"235",2021,"Massachusetts",36,37
"236",2021,"Massachusetts",32,37
"237",2021,"Massachusetts",33,31
"238",2021,"Massachusetts",31,31
"239",2021,"Massachusetts",31,31
"240",2021,"Massachusetts",33,50
"241",2021,"Massachusetts",35,39
"242",2021,"Michigan",26,86
"243",2021,"Michigan",23,90
"244",2021,"Michigan",37,52
"245",2021,"Michigan",30,89
"246",2021,"Michigan",5,91
"247",2021,"Michigan",40,90
"248",2021,"Michigan",32,90
"249",2021,"Michigan",16,15
"250",2021,"Michigan",22,90
"251",2021,"Michigan",33,59
"252",2021,"Michigan",33,90
"253",2021,"Michigan",9,91
"254",2021,"Michigan",33,59
"255",2021,"Minnesota",31,59
"256",2021,"Mississippi",35,87
"257",2021,"Mississippi",36,90
"258",2021,"Mississippi",40,90
"259",2021,"Mississippi",36,90
"260",2021,"Mississippi",38,90
"261",2021,"Mississippi",44,91
"262",2021,"Mississippi",37,90
"263",2021,"Mississippi",33,31
"264",2021,"Mississippi",40,31
"265",2021,"Mississippi",31,58
"266",2021,"Missouri",32,59
"267",2021,"Missouri",27,59
"268",2021,"Missouri",30,59
"269",2021,"Missouri",30,47
"270",2021,"Missouri",1,90
"271",2021,"Missouri",16,59
"272",2021,"Missouri",4,59
"273",2021,"Missouri",43,60
"274",2021,"Missouri",10,54
"275",2021,"Missouri",25,90
"276",2021,"Missouri",28,59
"277",2021,"Missouri",117,90
"278",2021,"Missouri",1,90
"279",2021,"Missouri",31,59
"280",2021,"Missouri",47,60
"281",2021,"Montana",12,31
"282",2021,"Montana",35,31
"283",2021,"Montana",34,59
"284",2021,"Montana",20,60
"285",2021,"Montana",39,32
"286",2021,"Montana",68,31
"287",2021,"Montana",65,31
"288",2021,"Montana",26,31
"289",2021,"Montana",32,30
"290",2021,"Montana",18,31
"291",2021,"Montana",30,31
"292",2021,"Montana",30,31
"293",2021,"Montana",39,29
"294",2021,"Montana",20,31
"295",2021,"Montana",22,31
"296",2021,"Nebraska",13,119
"297",2021,"Nebraska",36,91
"298",2021,"Nebraska",26,120
"299",2021,"Nebraska",32,59
"300",2021,"Nebraska",27,20
"301",2021,"Nebraska",31,80
"302",2021,"Nebraska",15,116
"303",2021,"Nebraska",29,24
"304",2021,"Nevada",48,91
"305",2021,"Nevada",40,59
"306",2021,"New Hampshire",35,57
"307",2021,"New Jersey",32,59
"308",2021,"New Mexico",46,90
"309",2021,"New Mexico",40,59
"310",2021,"New Mexico",15,90
"311",2021,"New Mexico",37,90
"312",2021,"New York",39,90
"313",2021,"New York",40,91
"314",2021,"New York",37,90
"315",2021,"New York",35,90
"316",2021,"New York",37,91
"317",2021,"New York",42,90
"318",2021,"New York",37,90
"319",2021,"New York",37,86
"320",2021,"New York",31,90
"321",2021,"New York",38,91
"322",2021,"New York",26,89
"323",2021,"New York",37,91
"324",2021,"New York",36,89
"325",2021,"New York",27,84
"326",2021,"New York",38,90
"327",2021,"New York",37,90
"328",2021,"New York",37,87
"329",2021,"New York",36,90
"330",2021,"New York",40,91
"331",2021,"New York",36,89
"332",2021,"New York",35,89
"333",2021,"New York",36,90
"334",2021,"New York",17,90
"335",2021,"New York",38,91
"336",2021,"New York",39,90
"337",2021,"New York",36,59
"338",2021,"New York",35,89
"339",2021,"New York",35,90
"340",2021,"North Carolina",43,31
"341",2021,"North Carolina",38,85
"342",2021,"North Carolina",0,57
"343",2021,"North Carolina",0,57
"344",2021,"North Carolina",26,90
"345",2021,"North Carolina",42,31
"346",2021,"North Carolina",33,54
"347",2021,"North Carolina",39,37
"348",2021,"North Carolina",26,59
"349",2021,"North Carolina",32,90
"350",2021,"North Carolina",35,59
"351",2021,"North Carolina",34,90
"352",2021,"North Carolina",26,90
"353",2021,"North Carolina",30,59
"354",2021,"North Carolina",44,31
"355",2021,"North Carolina",38,31
"356",2021,"North Carolina",28,90
"357",2021,"North Carolina",23,80
"358",2021,"North Carolina",30,90
"359",2021,"North Carolina",28,59
"360",2021,"North Carolina",41,31
"361",2021,"North Carolina",33,58
"362",2021,"North Carolina",40,31
"363",2021,"North Carolina",38,91
"364",2021,"North Carolina",19,59
"365",2021,"North Carolina",34,59
"366",2021,"North Carolina",30,90
"367",2021,"North Carolina",12,90
"368",2021,"North Carolina",42,31
"369",2021,"North Carolina",28,85
"370",2021,"North Carolina",1,87
"371",2021,"North Carolina",35,89
"372",2021,"North Carolina",43,85
"373",2021,"North Carolina",41,31
"374",2021,"North Carolina",37,91
"375",2021,"North Carolina",46,31
"376",2021,"North Dakota",31,59
"377",2021,"North Dakota",31,59
"378",2021,"North Dakota",30,60
"379",2021,"North Dakota",31,59
"380",2021,"North Dakota",30,59
"381",2021,"North Dakota",29,53
"382",2021,"North Dakota",30,59
"383",2021,"North Dakota",30,59
"384",2021,"North Dakota",30,59
"385",2021,"Ohio",36,59
"386",2021,"Ohio",7,59
"387",2021,"Ohio",21,18
"388",2021,"Ohio",17,59
"389",2021,"Ohio",48,90
"390",2021,"Ohio",44,68
"391",2021,"Ohio",34,90
"392",2021,"Ohio",0,59
"393",2021,"Ohio",56,60
"394",2021,"Ohio",31,59
"395",2021,"Ohio",46,60
"396",2021,"Ohio",3,58
"397",2021,"Ohio",3,59
"398",2021,"Ohio",50,91
"399",2021,"Ohio",1,59
"400",2021,"Ohio",5,51
"401",2021,"Ohio",39,56
"402",2021,"Ohio",26,59
"403",2021,"Ohio",35,59
"404",2021,"Ohio",35,59
"405",2021,"Ohio",29,59
"406",2021,"Ohio",32,59
"407",2021,"Ohio",36,59
"408",2021,"Ohio",42,63
"409",2021,"Ohio",3,55
"410",2021,"Ohio",31,59
"411",2021,"Ohio",39,70
"412",2021,"Ohio",12,59
"413",2021,"Ohio",45,90
"414",2021,"Ohio",33,59
"415",2021,"Ohio",35,59
"416",2021,"Ohio",37,90
"417",2021,"Ohio",4,59
"418",2021,"Oklahoma",37,91
"419",2021,"Oklahoma",35,120
"420",2021,"Oklahoma",38,87
"421",2021,"Oklahoma",51,120
"422",2021,"Oklahoma",43,118
"423",2021,"Oklahoma",36,119
"424",2021,"Oklahoma",39,120
"425",2021,"Oklahoma",0,116
"426",2021,"Oklahoma",48,120
"427",2021,"Oklahoma",39,32
"428",2021,"Oklahoma",49,121
"429",2021,"Oklahoma",36,117
"430",2021,"Oklahoma",45,120
"431",2021,"Oklahoma",34,90
"432",2021,"Oklahoma",49,121
"433",2021,"Oklahoma",45,120
"434",2021,"Oregon",25,29
"435",2021,"Pennsylvania",36,78
"436",2021,"Pennsylvania",44,91
"437",2021,"Pennsylvania",36,66
"438",2021,"Pennsylvania",35,78
"439",2021,"Pennsylvania",33,81
"440",2021,"Pennsylvania",33,72
"441",2021,"Pennsylvania",38,66
"442",2021,"Pennsylvania",32,68
"443",2021,"Pennsylvania",36,66
"444",2021,"Pennsylvania",34,78
"445",2021,"Pennsylvania",32,52
"446",2021,"Pennsylvania",32,70
"447",2021,"Pennsylvania",32,81
"448",2021,"Pennsylvania",32,78
"449",2021,"Pennsylvania",35,58
"450",2021,"Pennsylvania",33,38
"451",2021,"Pennsylvania",30,70
"452",2021,"Pennsylvania",33,73
"453",2021,"Pennsylvania",32,75
"454",2021,"Pennsylvania",33,69
"455",2021,"Pennsylvania",33,79
"456",2021,"Pennsylvania",35,86
"457",2021,"Pennsylvania",26,79
"458",2021,"Pennsylvania",35,66
"459",2021,"Pennsylvania",31,67
"460",2021,"Pennsylvania",34,76
"461",2021,"Pennsylvania",32,75
"462",2021,"Pennsylvania",34,78
"463",2021,"Pennsylvania",34,65
"464",2021,"Pennsylvania",33,77
"465",2021,"Pennsylvania",34,77
"466",2021,"Pennsylvania",31,58
"467",2021,"Pennsylvania",37,64
"468",2021,"Pennsylvania",34,79
"469",2021,"Pennsylvania",26,66
"470",2021,"Pennsylvania",35,81
"471",2021,"Rhode Island",25,89
"472",2021,"Rhode Island",40,91
"473",2021,"Rhode Island",27,90
"474",2021,"South Carolina",33,68
"475",2021,"South Carolina",41,40
"476",2021,"South Carolina",36,48
"477",2021,"South Carolina",38,90
"478",2021,"South Carolina",34,90
"479",2021,"South Carolina",33,54
"480",2021,"South Carolina",35,79
"481",2021,"South Carolina",27,77
"482",2021,"South Carolina",38,90
"483",2021,"South Carolina",38,41
"484",2021,"South Carolina",28,90
"485",2021,"South Carolina",35,90
"486",2021,"South Carolina",36,81
"487",2021,"South Carolina",30,90
"488",2021,"Tennessee",34,60
"489",2021,"Tennessee",30,58
"490",2021,"Tennessee",31,57
"491",2021,"Tennessee",29,59
"492",2021,"Tennessee",43,120
"493",2021,"Tennessee",38,59
"494",2021,"Texas",33,31
"495",2021,"Texas",27,31
"496",2021,"Texas",38,57
"497",2021,"Texas",30,31
"498",2021,"Texas",32,32
"499",2021,"Texas",34,31
"500",2021,"Texas",25,30
"501",2021,"Texas",42,32
"502",2021,"Texas",34,31
"503",2021,"Texas",0,31
"504",2021,"Texas",30,31
"505",2021,"Texas",49,29
"506",2021,"Texas",29,31
"507",2021,"Texas",0,31
"508",2021,"Texas",36,31
"509",2021,"Texas",31,29
"510",2021,"Texas",26,31
"511",2021,"Texas",13,18
"512",2021,"Texas",33,32
"513",2021,"Texas",31,31
"514",2021,"Texas",32,31
"515",2021,"Texas",31,31
"516",2021,"Texas",30,59
"517",2021,"Texas",23,31
"518",2021,"Texas",35,58
"519",2021,"Texas",0,31
"520",2021,"Texas",27,31
"521",2021,"Texas",40,32
"522",2021,"Texas",39,32
"523",2021,"Utah",38,90
"524",2021,"Utah",40,90
"525",2021,"Utah",40,90
"526",2021,"Utah",39,90
"527",2021,"Utah",45,90
"528",2021,"Utah",43,87
"529",2021,"Utah",36,90
"530",2021,"Utah",44,91
"531",2021,"Utah",39,59
"532",2021,"Utah",32,90
"533",2021,"Utah",44,90
"534",2021,"Utah",40,91
"535",2021,"Utah",41,90
"536",2021,"Utah",35,91
"537",2021,"Virginia",6,1
"538",2021,"Virginia",2,1
"539",2021,"Virginia",31,57
"540",2021,"Virginia",5,1
"541",2021,"Virginia",2,1
"542",2021,"Virginia",34,59
"543",2021,"Virginia",6,2
"544",2021,"Virginia",31,53
"545",2021,"Virginia",6,1
"546",2021,"Washington",14,30
"547",2021,"Washington",62,23
"548",2021,"Washington",29,31
"549",2021,"Washington",41,31
"550",2021,"Washington",40,32
"551",2021,"Washington",33,31
"552",2021,"Washington",35,59
"553",2021,"Washington",23,31
"554",2021,"Washington",21,31
"555",2021,"Washington",15,31
"556",2021,"Washington",24,31
"557",2021,"Washington",23,31
"558",2021,"Washington",17,31
"559",2021,"Washington",39,32
"560",2021,"Washington",23,31
"561",2021,"Washington",38,31
"562",2021,"Washington",23,31
"563",2021,"Washington",25,31
"564",2021,"Washington",65,31
"565",2021,"Washington",38,31
"566",2021,"Washington",40,31
"567",2021,"Washington",20,28
"568",2021,"Washington",49,31
"569",2021,"Washington",40,31
"570",2021,"Washington",56,31
"571",2021,"Washington",19,30
"572",2021,"Washington",25,31
"573",2021,"Washington",16,31
"574",2021,"Washington",15,31
"575",2021,"Washington",62,31
"576",2021,"West Virginia",41,31
"577",2021,"West Virginia",15,90
"578",2021,"West Virginia",37,31
"579",2021,"West Virginia",29,59
"580",2021,"West Virginia",40,31
"581",2021,"West Virginia",10,90
"582",2021,"West Virginia",38,91
"583",2021,"West Virginia",52,89
"584",2021,"West Virginia",1,59
"585",2021,"West Virginia",3,89
"586",2021,"West Virginia",39,31
"587",2021,"West Virginia",31,59
"588",2021,"West Virginia",4,90
"589",2021,"Wisconsin",43,5
"590",2021,"Wisconsin",36,11
"591",2021,"Wisconsin",42,10
"592",2021,"Wisconsin",31,59
"593",2021,"Wisconsin",44,5
"594",2021,"Wyoming",43,59
"595",2021,"Wyoming",34,89
"596",2021,"Wyoming",43,90
"597",2021,"Wyoming",10,90
"598",2021,"Wyoming",38,60
"599",1980,"Alabama",51,343
"600",1980,"Alabama",56,344
"601",1980,"Alabama",41,286
"602",1980,"Alabama",39,332
"603",1980,"Alabama",38,132
"604",1980,"Alaska",44,366
"605",1980,"Alaska",33,356
"606",1980,"Alaska",28,92
"607",1980,"Arizona",117,359
"608",1980,"Arizona",40,283
"609",1980,"Arizona",173,366
"610",1980,"Arizona",79,362
"611",1980,"Arizona",101,366
"612",1980,"Arizona",39,342
"613",1980,"Arizona",47,25
"614",1980,"Arizona",29,270
"615",1980,"Arkansas",14,250
"616",1980,"Arkansas",38,366
"617",1980,"California",40,366
"618",1980,"California",38,353
"619",1980,"California",16,31
"620",1980,"California",47,366
"621",1980,"California",50,366
"622",1980,"California",90,366
"623",1980,"California",37,358
"624",1980,"California",48,356
"625",1980,"California",37,175
"626",1980,"California",93,365
"627",1980,"California",37,359
"628",1980,"California",34,238
"629",1980,"California",168,366
"630",1980,"California",38,366
"631",1980,"California",28,353
"632",1980,"California",24,205
"633",1980,"California",37,366
"634",1980,"California",38,364
"635",1980,"California",100,366
"636",1980,"California",44,366
"637",1980,"California",114,366
"638",1980,"California",54,366
"639",1980,"California",34,364
"640",1980,"California",126,366
"641",1980,"California",110,366
"642",1980,"California",38,366
"643",1980,"California",47,366
"644",1980,"California",47,366
"645",1980,"California",31,365
"646",1980,"California",61,366
"647",1980,"California",43,366
"648",1980,"California",38,366
"649",1980,"California",40,321
"650",1980,"California",38,366
"651",1980,"California",38,366
"652",1980,"California",51,359
"653",1980,"California",21,45
"654",1980,"California",68,365
"655",1980,"California",70,348
"656",1980,"California",89,365
"657",1980,"California",40,335
"658",1980,"Colorado",60,340
"659",1980,"Colorado",39,356
"660",1980,"Colorado",33,334
"661",1980,"Colorado",94,348
"662",1980,"Colorado",57,366
"663",1980,"Colorado",49,348
"664",1980,"Colorado",34,320
"665",1980,"Colorado",18,303
"666",1980,"Colorado",17,303
"667",1980,"Colorado",43,364
"668",1980,"Connecticut",120,366
"669",1980,"Connecticut",60,366
"670",1980,"Connecticut",44,164
"671",1980,"Connecticut",67,164
"672",1980,"Connecticut",59,366
"673",1980,"Connecticut",54,148
"674",1980,"Delaware",29,316
"675",1980,"Delaware",93,361
"676",1980,"Delaware",0,337
"677",1980,"District Of Columbia",69,366
"678",1980,"Florida",24,152
"679",1980,"Florida",49,182
"680",1980,"Florida",4,301
"681",1980,"Florida",48,366
"682",1980,"Florida",9,357
"683",1980,"Florida",74,366
"684",1980,"Florida",74,366
"685",1980,"Florida",77,366
"686",1980,"Florida",0,182
"687",1980,"Florida",35,139
"688",1980,"Florida",37,327
"689",1980,"Florida",19,345
"690",1980,"Florida",42,361
"691",1980,"Florida",36,16
"692",1980,"Florida",40,359
"693",1980,"Florida",39,366
"694",1980,"Florida",63,366
"695",1980,"Florida",28,154
"696",1980,"Georgia",10,338
"697",1980,"Georgia",17,330
"698",1980,"Georgia",31,335
"699",1980,"Georgia",24,326
"700",1980,"Georgia",53,366
"701",1980,"Georgia",13,234
"702",1980,"Georgia",38,149
"703",1980,"Georgia",13,333
"704",1980,"Georgia",28,152
"705",1980,"Hawaii",18,361
"706",1980,"Idaho",57,364
"707",1980,"Idaho",69,365
"708",1980,"Idaho",94,361
"709",1980,"Idaho",121,366
"710",1980,"Illinois",41,325
"711",1980,"Illinois",28,285
"712",1980,"Illinois",99,366
"713",1980,"Illinois",26,290
"714",1980,"Illinois",29,277
"715",1980,"Illinois",31,355
"716",1980,"Illinois",33,346
"717",1980,"Illinois",43,355
"718",1980,"Illinois",34,215
"719",1980,"Illinois",100,361
"720",1980,"Illinois",32,123
"721",1980,"Illinois",38,328
"722",1980,"Illinois",40,353
"723",1980,"Illinois",42,359
"724",1980,"Illinois",80,364
"725",1980,"Illinois",62,351
"726",1980,"Illinois",31,311
"727",1980,"Illinois",67,171
"728",1980,"Illinois",54,361
"729",1980,"Illinois",27,341
"730",1980,"Indiana",37,357
"731",1980,"Indiana",105,205
"732",1980,"Indiana",54,179
"733",1980,"Indiana",29,316
"734",1980,"Indiana",80,338
"735",1980,"Indiana",47,117
"736",1980,"Indiana",47,249
"737",1980,"Indiana",20,283
"738",1980,"Indiana",55,261
"739",1980,"Indiana",65,364
"740",1980,"Indiana",107,366
"741",1980,"Indiana",104,366
"742",1980,"Indiana",54,366
"743",1980,"Indiana",28,50
"744",1980,"Indiana",74,274
"745",1980,"Indiana",46,364
"746",1980,"Indiana",49,274
"747",1980,"Indiana",40,319
"748",1980,"Indiana",82,365
"749",1980,"Indiana",96,261
"750",1980,"Iowa",9,311
"751",1980,"Iowa",14,106
"752",1980,"Iowa",57,364
"753",1980,"Iowa",3,349
"754",1980,"Iowa",68,362
"755",1980,"Iowa",39,293
"756",1980,"Iowa",47,245
"757",1980,"Kansas",38,348
"758",1980,"Kansas",39,366
"759",1980,"Kansas",40,366
"760",1980,"Kentucky",56,366
"761",1980,"Kentucky",45,365
"762",1980,"Kentucky",29,89
"763",1980,"Kentucky",62,366
"764",1980,"Kentucky",48,362
"765",1980,"Kentucky",49,366
"766",1980,"Kentucky",52,260
"767",1980,"Kentucky",42,208
"768",1980,"Kentucky",50,364
"769",1980,"Kentucky",121,366
"770",1980,"Kentucky",116,366
"771",1980,"Kentucky",39,216
"772",1980,"Kentucky",14,272
"773",1980,"Louisiana",32,53
"774",1980,"Louisiana",30,263
"775",1980,"Louisiana",39,336
"776",1980,"Louisiana",37,284
"777",1980,"Louisiana",18,298
"778",1980,"Louisiana",37,270
"779",1980,"Louisiana",7,362
"780",1980,"Maine",40,338
"781",1980,"Maine",85,361
"782",1980,"Maine",52,366
"783",1980,"Maine",37,139
"784",1980,"Maine",11,172
"785",1980,"Maine",50,366
"786",1980,"Maine",114,366
"787",1980,"Maine",11,61
"788",1980,"Maryland",29,207
"789",1980,"Maryland",64,354
"790",1980,"Maryland",49,356
"791",1980,"Maryland",72,360
"792",1980,"Maryland",105,67
"793",1980,"Maryland",35,159
"794",1980,"Maryland",39,228
"795",1980,"Maryland",27,102
"796",1980,"Maryland",33,270
"797",1980,"Maryland",49,340
"798",1980,"Maryland",32,118
"799",1980,"Massachusetts",41,309
"800",1980,"Massachusetts",49,366
"801",1980,"Massachusetts",47,365
"802",1980,"Massachusetts",41,73
"803",1980,"Massachusetts",57,352
"804",1980,"Massachusetts",55,366
"805",1980,"Massachusetts",49,362
"806",1980,"Massachusetts",74,366
"807",1980,"Massachusetts",49,366
"808",1980,"Michigan",34,365
"809",1980,"Michigan",41,158
"810",1980,"Michigan",37,298
"811",1980,"Michigan",31,365
"812",1980,"Michigan",41,366
"813",1980,"Michigan",87,366
"814",1980,"Michigan",39,366
"815",1980,"Michigan",37,365
"816",1980,"Michigan",17,254
"817",1980,"Michigan",64,366
"818",1980,"Michigan",45,366
"819",1980,"Michigan",39,365
"820",1980,"Michigan",43,366
"821",1980,"Michigan",70,366
"822",1980,"Michigan",29,363
"823",1980,"Michigan",90,366
"824",1980,"Minnesota",35,321
"825",1980,"Minnesota",59,363
"826",1980,"Minnesota",61,366
"827",1980,"Minnesota",31,207
"828",1980,"Minnesota",69,366
"829",1980,"Minnesota",60,366
"830",1980,"Minnesota",44,365
"831",1980,"Minnesota",6,322
"832",1980,"Minnesota",49,343
"833",1980,"Minnesota",7,366
"834",1980,"Mississippi",39,335
"835",1980,"Mississippi",6,201
"836",1980,"Mississippi",43,366
"837",1980,"Mississippi",11,260
"838",1980,"Missouri",63,366
"839",1980,"Missouri",39,366
"840",1980,"Missouri",43,343
"841",1980,"Missouri",56,329
"842",1980,"Missouri",69,366
"843",1980,"Missouri",97,356
"844",1980,"Missouri",104,357
"845",1980,"Montana",33,336
"846",1980,"Montana",50,257
"847",1980,"Montana",55,336
"848",1980,"Montana",37,357
"849",1980,"Montana",36,176
"850",1980,"Montana",94,264
"851",1980,"Nebraska",51,366
"852",1980,"Nebraska",44,357
"853",1980,"Nevada",85,366
"854",1980,"Nevada",57,366
"855",1980,"New Hampshire",35,362
"856",1980,"New Hampshire",118,361
"857",1980,"New Hampshire",68,366
"858",1980,"New Hampshire",41,364
"859",1980,"New Jersey",63,328
"860",1980,"New Jersey",57,323
"861",1980,"New Jersey",70,341
"862",1980,"New Jersey",50,287
"863",1980,"New Jersey",62,351
"864",1980,"New Jersey",82,49
"865",1980,"New Jersey",64,317
"866",1980,"New Jersey",50,215
"867",1980,"New Jersey",46,308
"868",1980,"New Jersey",61,328
"869",1980,"New Jersey",55,316
"870",1980,"New Jersey",71,315
"871",1980,"New Jersey",41,294
